2343,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 12:00,Ⅱ,20.9,7,6.2,275.8,67.7
2380,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 16:00,Ⅱ,21,8,6.6,273.4,62.6
2417,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 20:00,Ⅱ,20.5,8,7.5,274.5,59.6
2454,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 20:00,Ⅱ,20.5,8,7.5,274.5,59.6
2491,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-12 20:00,Ⅱ,20.5,8,7.5,274.5,59.6
2528,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
2565,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-13 12:00,Ⅱ,21.4,8,6.8,275.1,67.4
2602,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-13 12:00,Ⅱ,21.4,8,6.8,275.1,67.4
2639,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-13 20:00,"",20.8,8,6.7,274.5,60.5
2676,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-13 20:00,"",20.8,8,6.7,274.5,60.5
2713,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-13 20:00,"",20.8,8,6.7,274.5,60.5
2750,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
2787,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-14 12:00,"",21.7,8,6.5,275.7,55.6
2824,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-14 12:00,"",21.7,8,6.5,275.7,55.6
2861,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-14 20:00,"",21.1,7,5.4,274.7,56.9
2898,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-14 20:00,"",21.1,7,5.4,274.7,56.9
2935,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-14 20:00,"",21.1,7,5.4,274.7,56.9
2972,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3009,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3046,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-15 12:00,Ⅱ,21.9,8,6.5,273.3,58.2
3083,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-15 12:00,Ⅱ,21.9,8,6.5,273.3,58.2
3120,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-15 12:00,Ⅱ,21.9,8,6.5,273.3,58.2
3157,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-15 12:00,Ⅱ,21.9,8,6.5,273.3,58.2
3194,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3231,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-16 08:00,"",21.6,8,6,264,58.7
3268,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-16 08:00,"",21.6,8,6,264,58.7
3305,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-16 08:00,"",21.6,8,6,264,58.7
3342,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-16 08:00,Ⅱ,21.6,8,6,264,58.7
3379,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-16 08:00,Ⅱ,21.6,8,6,264,58.7
3416,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3453,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3489,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3525,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3561,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-17 20:00,Ⅲ,20.2,7,5.3,263.4,78.8
3597,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-17 20:00,Ⅲ,20.2,7,5.3,263.4,78.8
3633,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3669,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-18 12:00,"",19.3,7,5.7,263,74.7
3705,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-18 12:00,"",19.3,7,5.7,263,74.7
3741,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-18 20:00,"",18.7,7,5.8,264.4,79
3777,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-18 20:00,Ⅲ,18.7,7,5.8,264.4,79
3813,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-18 20:00,Ⅲ,18.7,7,5.8,264.4,79
3849,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3885,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
3921,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-19 16:00,Ⅲ,18.3,7,5.6,273.8,102.7
3957,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-19 20:00,Ⅲ,18.3,7,5.6,273.8,102.7
3992,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-19 20:00,Ⅲ,18.3,7,5.6,273.8,102.7
4027,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4063,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4099,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4135,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-20 20:00,"",16.8,7,6.2,261.8,102.3
4171,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-20 20:00,Ⅱ,16.8,7,6.2,261.8,102.3
4207,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-20 20:00,Ⅱ,16.8,7,6.2,261.8,102.3
4243,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4279,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-21 08:00,Ⅱ,16.8,7,6,266.7,96
4315,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-21 12:00,Ⅱ,17.1,7,6.4,268.6,105.8
4351,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-21 20:00,Ⅱ,17.2,7,6.9,270,107.3
4387,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-21 20:00,Ⅱ,17.2,7,6.9,270,107.3
4422,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-21 20:00,Ⅱ,17.2,7,6.9,270,107.3
4457,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4492,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4527,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-22 16:00,"",16.8,7,6.4,282.4,95.7
4563,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-22 16:00,"",16.8,7,6.4,282.4,95.7
4599,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-22 16:00,Ⅱ,16.8,7,6.4,282.4,95.7
4635,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-22 16:00,Ⅱ,16.8,7,6.4,282.4,95.7
4671,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4707,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4743,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4779,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-23 20:00,Ⅱ,16.3,7,6.6,277.5,91.7
4815,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-23 20:00,Ⅱ,16.3,7,6.6,277.5,91.7
4851,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-23 20:00,Ⅱ,16.3,7,6.6,277.5,91.7
4887,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
4923,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-24 12:00,Ⅱ,16,7,7,276.5,87.3
4959,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-24 16:00,Ⅱ,16.1,7,6.8,276.4,92.2
4995,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-24 16:00,Ⅱ,16.1,7,6.8,276.4,92.2
5031,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-24 16:00,Ⅱ,16.1,7,6.8,276.4,92.2
5067,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-24 16:00,Ⅱ,16.1,7,6.8,276.4,92.2
5103,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
5139,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-25 08:00,"",,,,,
5175,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-25 12:00,Ⅱ,15.6,7,6.9,279.4,111.5
5211,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-25 20:00,Ⅱ,15.3,8,9.8,0.8,25.4
5247,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-25 20:00,"",15.3,8,9.8,0.8,25.4
5283,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-26 04:00,"",16.3,8,9.5,0.6,25.2
5319,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
5355,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
5391,湖北省,富池闸 所在地市:黄石市所属河流:富水,,"",,,,,
5427,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-26 20:00,"",14.2,7,8.9,295.8,73.2
5463,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-26 20:00,"",14.2,7,8.9,295.8,73.2
5499,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 04:00,Ⅱ,12.8,7,7.7,297.2,77.6
5535,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 08:00,Ⅱ,12.6,7,8.2,298.7,82.2
5571,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 12:00,Ⅱ,18,7,7.5,296,72.9
5607,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 16:00,Ⅱ,16.6,7,7.7,291.4,79.8
5643,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 20:00,Ⅱ,13.3,7,7.1,296,75.5
5679,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-27 20:00,Ⅱ,13.3,7,7.1,296,75.5
5715,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 00:00,"",12.7,7,6.9,294.8,71.9
5751,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 08:00,"",12.3,7,7,294.7,75.8
5787,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 12:00,Ⅱ,16.9,7,9.4,298.9,92.3
5823,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 16:00,Ⅱ,16.2,7,8.5,281.4,79.3
5859,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 20:00,Ⅱ,13.1,7,9.4,282.2,84.9
5895,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-28 20:00,Ⅱ,13.1,7,9.4,282.2,84.9
5931,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-29 04:00,Ⅱ,11.8,7,9.3,282.2,75.4
5967,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-29 08:00,Ⅱ,11.8,7,9.4,283.2,67.9
6003,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-29 12:00,Ⅱ,17.4,7,7.9,281,71.6
6039,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-29 16:00,Ⅱ,18.1,7,8.3,275.8,68.2
6075,湖北省,富池闸 所在地市:黄石市所属河流:富水,11-29 20:00,Ⅱ,13.4,7,7.9,281.8,66.4
