temp,pH,DO,Conductivity,Turbidity,Next_DO
10.35,8,9.55,988.65,5.7,9.5
10.1,8,9.5,997.6,5.9,9.7
9.1,8,9.7,1034.7,5.2,9.8
10.6,8,9.8,1004.5,5.1,9.9
11.1,8,9.9,997.6,5.1,9.7
10.3,8,9.7,994.9,5.5,9.7
9.8,8,9.7,986.1,5.7,9.7
9.5,8,9.7,988.6,5.7,10
8.6,8,10,1033.2,5.2,9.8
10.2,8,9.8,1031.5,5.1,9.7
10.9,8,9.7,1068.1,4.8,9.6
10.3,8,9.6,1088.7,6.4,9.3
10.1,8,9.3,1125.5,6.1,9
9.9,8,9,1132.3,7.2,8.8
9.4,8,8.8,1229.8,7.8,8.4
10.3,8,8.4,1227.3,8,8.6
10.4,8,8.6,1217.1,7.8,8.5
10.3,8,8.5,1212.3,8.2,8.5
10.2,8,8.5,1210.5,9,8.5
10,8,8.5,1220.6,8.7,8.4
9.4,8,8.4,1273.9,8.2,7.9
10.2,8,7.9,1254.5,7.8,8.35
10.1,8,8.35,1218.55,6.8,8.8
10,8,8.8,1182.6,5.8,9.1
9.9,8,9.1,1136.5,5.6,9.3
9.8,8,9.3,1083.8,5.3,9.3
9.2,8,9.3,1134.2,5.7,9
9.9,8,9,1107,5.6,9.1
10,8,9.1,1107.2,5.3,9.3
9.9,8,9.3,1059.5,5.7,9.4
9.6,8,9.4,1017.7,5.6,9.3
9.4,8,9.3,1009.4,5.5,9.6
8.5,8,9.6,1033,5.9,9.6
9.8,8,9.6,1015.6,5.2,9.7
10,8,9.7,1022.4,4.8,9.5
9.9,8,9.5,1030.6,5.2,9.6
9.8,8,9.6,1010.7,5.1,9.7
9.6,8,9.7,975.8,4.9,10
9,8,10,990.4,4.4,9.8
9.6,8,9.8,958.4,4.6,9.9
9.8,8,9.9,949.2,5,9.9
9.6,8,9.9,932.9,5.3,9.9
9.5,8,9.9,915.9,5,9.9
9.5,8,9.9,891.5,4.8,10.1
8.8,8,10.1,904.1,5.5,10.1
9.6,8,10.1,859.7,5,10
10.4,8,10,1014.9,5.4,10
10,8,10,1013.6,5.8,10.1
9.4,8,10.1,810,5.3,10
9.1,8,10,797.1,5.3,10.4
8.3,8,10.4,822.9,5.2,10.2
10.5,8,10.2,795.6,4.8,10.2
11.7,8,10.2,870.1,5.4,10
11.1,8,10,880.1,5.1,9.9
10.7,8,9.9,844.9,5.4,9.6
10.6,8,9.6,839,4.8,10.2
10,8,10.2,920.7,4.9,10
10.6,8,10,959.4,4.4,10.1
10.6,8,10.1,1041,4.7,10.1
10.5,8,10.1,921.3,4.5,10
10.3,8,10,904.2,3.7,10
9.9,8,10,889.3,3.9,10.2
9.1,8,10.2,903.4,3.9,10.1
10.7,8,10.1,895.2,3.8,10
11.7,8,10,1046.2,4.1,9.8
11,8,9.8,1071.4,4.6,9.8
11,8,9.8,1074.7,3.9,9.8
10.9,8,9.8,990.5,4.1,9.8
11.15,8,9.8,1012.1,4.05,9.8
11.4,8,9.8,1033.7,4,9.9
11.3,8,9.9,1044,3.4,9.8
11.1,8,9.8,1093.6,3.7,9.8
11.1,8,9.8,1063.2,3.9,9.8
11.1,8,9.8,1032.8,4.1,10
10.4,8,10,1054.4,3.7,10
11.1,8,10,988.3,4.5,9.9
11.4,8,9.9,929.9,4.6,9.8
11.2,8,9.8,914.1,4.2,9.9
11.05,8,9.9,910.8,4.35,10
10.9,8,10,907.5,4.5,10
10.2,8,10,978.9,4.6,10
11.4,8,10,1023.4,4.4,9.5
12.2,8,9.5,1174.6,4.8,9.3
11.7,8,9.3,1193.8,6.8,9.25
11.55,8,9.25,1195.5,6.35,9.2
11.4,8,9.2,1197.2,5.9,9.3
10.6,8,9.3,1206.3,4.9,9.5
11.1,8,9.5,1151.6,6.1,9.7
11.2,8,9.7,1132.1,4.6,9.6
11.1,8,9.6,1130.6,5.5,9.65
10.95,8,9.65,1079.1,5.7,9.7
10.8,8,9.7,1027.6,5.9,9.9
10,8,9.9,994.8,4.7,10.1
11.5,8,10.1,947.2,4.1,10.3
12.4,8,10.3,909.3,4.4,10
11.6,8,10,932.9,5.6,9.95
11.4,8,9.95,920.75,5.65,9.9
11.2,8,9.9,908.6,5.7,10.1
10.5,8,10.1,943.8,5.7,9.6
11.6,8,9.6,1071,6.6,9
12.3,8,9,1147.5,6.4,8.3
12,8,8.3,1256.9,6.7,8.7
11.75,8,8.7,1171.9,6.35,9.1
11.5,8,9.1,1086.9,6,9.5
10.8,8,9.5,1084.9,5.1,9.6
11.5,8,9.6,1020.9,6.1,9.6
12,8,9.6,1050.2,6.1,9.45
11.7,8,9.45,1055.2,5.55,9.45
11.7,8,9.45,1055.2,5.55,9.3
11.4,8,9.3,1060.2,5,9.5
10.6,8,9.5,1051.5,5.2,9.35
11.45,8,9.35,1089.9,5.7,9.35
11.45,8,9.35,1089.9,5.7,9.2
12.3,8,9.2,1128.3,6.2,9.05
12.1,8,9.05,1136.2,5.65,8.9
11.9,8,8.9,1144.1,5.1,9
11.4,8,9,1139.5,5.4,9.1
13,8,9.1,1130.5,5,9.4
13.8,8,9.4,1129.8,6,9.3
13.1,8,9.3,1117.5,6.8,9.05
13.1,8,9.05,1122,6.6,8.8
13.1,8,8.8,1126.5,6.4,8.8
12.7,8,8.8,1148.4,7,8.9
13.7,8,8.9,1129.4,6.2,9.1
15,8,9.1,1138.9,8.2,9
14.9,8,9,1131.8,7.9,8.9
14.9,8,8.9,1125.35,7.65,8.8
14.9,8,8.8,1118.9,7.4,8.5
14.4,8,8.5,1121.4,7.3,8.9
16,8,8.9,1067.2,7,9
15.6,8,9,1032.2,5.3,9
15.5,8,9,1026.1,4.6,8.8
15.45,8,8.8,1009.35,5.35,8.6
15.4,8,8.6,992.6,6.1,8.5
15.2,8,8.5,1005.1,5.8,8.7
17.5,8,8.7,1101.7,6.9,9.1
18.2,8,9.1,1039.3,6.7,8.9
16.9,8,8.9,997.5,6.6,8.5
15.85,8,8.5,1046.85,9.7,8.1
14.8,8,8.1,1096.2,12.8,8.2
14.1,8,8.2,1049.2,10.4,8.1
14.15,8,8.1,1055.1,10.6,8.1
